sna,tot,lat,lng,流量,路徑
捷運科技大樓站,29,25.02605,121.5436,430,05-28表格/捷運科技大樓站.jpg
復興南路二段273號前,21,25.02565,121.54357,191,05-28表格/復興南路二段273號前.jpg
國北教大實小東側門,16,25.02429,121.54124,73,05-28表格/國北教大實小東側門.jpg
和平公園東側,11,25.02351,121.54282,157,05-28表格/和平公園東側.jpg
辛亥復興路口西北側,16,25.02153,121.54299,157,05-28表格/辛亥復興路口西北側.jpg
復興南路二段280號前,11,25.02429,121.54328,54,05-28表格/復興南路二段280號前.jpg
復興南路二段340巷口,11,25.02253,121.54326,75,05-28表格/復興南路二段340巷口.jpg
新生南路三段52號前,17,25.02112,121.53407,74,05-28表格/新生南路三段52號前.jpg
新生南路三段66號前,16,25.01976,121.53384,135,05-28表格/新生南路三段66號前.jpg
新生南路三段82號前,20,25.01894,121.53361,268,05-28表格/新生南路三段82號前.jpg
辛亥路一段30號前,8,25.01986,121.52982,107,05-28表格/辛亥路一段30號前.jpg
和平復興路口西北側,9,25.02543,121.54332,142,05-28表格/和平復興路口西北側.jpg
羅斯福路三段311號前,11,25.01717,121.53202,191,05-28表格/羅斯福路三段311號前.jpg
大安運動中心停車場,14,25.020348,121.546446,111,05-28表格/大安運動中心停車場.jpg
羅斯福路三段245號前,8,25.01927,121.52989,75,05-28表格/羅斯福路三段245號前.jpg
羅斯福路三段269巷5號前,10,25.01913,121.53079,0,05-28表格/羅斯福路三段269巷5號前.jpg
溫州公園,5,25.01895,121.53156,92,05-28表格/溫州公園.jpg
和平臥龍街口,15,25.024461,121.546705,98,05-28表格/和平臥龍街口.jpg
溫州停車場,5,25.02093,121.5331,43,05-28表格/溫州停車場.jpg
銘傳國小側門,7,25.01385,121.53549,111,05-28表格/銘傳國小側門.jpg
捷運公館站(2號出口),99,25.01491,121.53438,1051,05-28表格/捷運公館站(2號出口).jpg
第二學生活動中心,27,25.01244,121.53661,148,05-28表格/第二學生活動中心.jpg
臺灣科技大學正門,30,25.01451,121.54142,43,05-28表格/臺灣科技大學正門.jpg
臺灣科技大學側門,35,25.01295,121.53973,181,05-28表格/臺灣科技大學側門.jpg
公館公園,15,25.01137,121.54062,46,05-28表格/公館公園.jpg
臺灣科技大學後門,39,25.01182,121.54165,370,05-28表格/臺灣科技大學後門.jpg
臺大醫學院附設癌醫中心,20,25.01426,121.54382,83,05-28表格/臺大醫學院附設癌醫中心.jpg
臺大環研大樓,15,25.01234,121.54503,32,05-28表格/臺大環研大樓.jpg
臺大永齡生醫工程館,34,25.0136,121.54656,31,05-28表格/臺大永齡生醫工程館.jpg
臺大男七舍前,20,25.01537,121.54698,93,05-28表格/臺大男七舍前.jpg
臺大男一舍前,61,25.01637,121.54535,208,05-28表格/臺大男一舍前.jpg
臺大男六舍前,46,25.01664,121.5452,169,05-28表格/臺大男六舍前.jpg
臺大動物醫院前,18,25.01576,121.54291,66,05-28表格/臺大動物醫院前.jpg
臺大土木研究大樓前,11,25.01787,121.5476,46,05-28表格/臺大土木研究大樓前.jpg
臺大萬才館前,20,25.02032,121.54497,32,05-28表格/臺大萬才館前.jpg
臺大國青大樓宿舍前,20,25.02076,121.54432,96,05-28表格/臺大國青大樓宿舍前.jpg
臺大社科院圖書館前,27,25.02101,121.54284,121,05-28表格/臺大社科院圖書館前.jpg
臺大法人語言訓練中心前,28,25.02104,121.54081,93,05-28表格/臺大法人語言訓練中心前.jpg
臺大綜合體育館停車場前,25,25.0222,121.53626,37,05-28表格/臺大綜合體育館停車場前.jpg
辛亥新生路口東南側,21,25.02218,121.53474,79,05-28表格/辛亥新生路口東南側.jpg
基隆長興路口東側,15,25.01727,121.54471,118,05-28表格/基隆長興路口東側.jpg
國北教大側門南側,25,25.022864,121.546622,52,05-28表格/國北教大側門南側.jpg
和平實小東北側,13,25.021641,121.54704,47,05-28表格/和平實小東北側.jpg
大安區健康服務中心,15,25.021469,121.544069,69,05-28表格/大安區健康服務中心.jpg
辛亥泰順街口,20,25.02193,121.53165,126,05-28表格/辛亥泰順街口.jpg
芳和國中,28,25.0189,121.55013,34,05-28表格/芳和國中.jpg
臥龍樂業街口,36,25.01856,121.55558,200,05-28表格/臥龍樂業街口.jpg
臥龍公園,14,25.01623,121.55037,37,05-28表格/臥龍公園.jpg
嘉興公園,44,25.021,121.55211,348,05-28表格/嘉興公園.jpg
捷運麟光站(2號出口),25,25.0181,121.55929,149,05-28表格/捷運麟光站(2號出口).jpg
捷運六張犁站,30,25.02397,121.55266,420,05-28表格/捷運六張犁站.jpg
喬治工商,26,25.02705,121.55551,107,05-28表格/喬治工商.jpg
法治公園,15,25.02694,121.55325,142,05-28表格/法治公園.jpg
捷運臺電大樓站(2號出口),14,25.02021,121.52942,178,05-28表格/捷運臺電大樓站(2號出口).jpg
和平金山路口,32,25.02669,121.52529,166,05-28表格/和平金山路口.jpg
和平龍泉街口,17,25.02638,121.52971,300,05-28表格/和平龍泉街口.jpg
和平泰順街口,9,25.02621,121.53171,183,05-28表格/和平泰順街口.jpg
臺灣師範大學(圖書館),33,25.0266,121.52973,345,05-28表格/臺灣師範大學(圖書館).jpg
捷運古亭站(6號出口),15,25.0276,121.52217,0,05-28表格/捷運古亭站(6號出口).jpg
捷運古亭站(5號出口),14,25.02715,121.52293,245,05-28表格/捷運古亭站(5號出口).jpg
臺北市立圖書館(總館),32,25.02895,121.5379,326,05-28表格/臺北市立圖書館(總館).jpg
新生和平路口東北側,35,25.02657,121.53515,243,05-28表格/新生和平路口東北側.jpg
建國和平路口西北側,41,25.02606,121.53738,271,05-28表格/建國和平路口西北側.jpg
金華公園,23,25.02984,121.53107,310,05-28表格/金華公園.jpg
捷運東門站(3號出口),15,25.03383,121.52815,137,05-28表格/捷運東門站(3號出口).jpg
金甌女中,12,25.03519,121.5245,106,05-28表格/金甌女中.jpg
金杭公園,20,25.03325,121.52436,84,05-28表格/金杭公園.jpg
愛國金山路口,33,25.03164,121.52661,140,05-28表格/愛國金山路口.jpg
敦化南路二段293巷口南側,14,25.0237,121.54899,42,05-28表格/敦化南路二段293巷口南側.jpg
敦化基隆路口,32,25.02215,121.54839,68,05-28表格/敦化基隆路口.jpg
安和路二段181巷口,17,25.02721,121.54988,104,05-28表格/安和路二段181巷口.jpg
臨江街夜市(通化街101巷口),30,25.02952,121.55406,234,05-28表格/臨江街夜市(通化街101巷口).jpg
臨江街夜市(基隆路),17,25.02931,121.55721,198,05-28表格/臨江街夜市(基隆路).jpg
台北科技大學億光大樓,46,25.04177,121.53833,144,05-28表格/台北科技大學億光大樓.jpg
新生南路一段119巷口,33,25.04003,121.53299,228,05-28表格/新生南路一段119巷口.jpg
幸安國小(仁愛路),16,25.03753,121.53523,86,05-28表格/幸安國小(仁愛路).jpg
民榮公園,15,25.03534,121.5354,140,05-28表格/民榮公園.jpg
復興南路1段340巷口,38,25.03701,121.54348,166,05-28表格/復興南路1段340巷口.jpg
建國濟南路口,29,25.03935,121.53828,155,05-28表格/建國濟南路口.jpg
捷運忠孝復興站(2號出口),58,25.04035,121.5436,402,05-28表格/捷運忠孝復興站(2號出口).jpg
捷運大安站(4號出口),13,25.0332,121.5439,394,05-28表格/捷運大安站(4號出口).jpg
捷運大安站(2號出口),22,25.03358,121.54141,151,05-28表格/捷運大安站(2號出口).jpg
